epoch: 1	test: 	0.5	0.5	best: 	0.5	0.5	
epoch: 2	test: 	0.5	0.5	best: 	0.5	0.5	
epoch: 3	test: 	0.5	0.5	best: 	0.5	0.5	
epoch: 4	test: 	0.5769230769230769	0.53125	best: 	0.5769230769230769	0.53125	
epoch: 5	test: 	0.5769230769230769	0.5	best: 	0.5769230769230769	0.53125	
epoch: 6	test: 	0.6153846153846154	0.53125	best: 	0.6153846153846154	0.53125	
epoch: 7	test: 	0.6346153846153846	0.53125	best: 	0.6346153846153846	0.53125	
epoch: 8	test: 	0.6538461538461539	0.53125	best: 	0.6538461538461539	0.53125	
epoch: 9	test: 	0.6538461538461539	0.53125	best: 	0.6538461538461539	0.53125	
epoch: 10	test: 	0.6538461538461539	0.53125	best: 	0.6538461538461539	0.53125	
epoch: 11	test: 	0.6730769230769231	0.5625	best: 	0.6730769230769231	0.5625	
epoch: 12	test: 	0.6923076923076923	0.5625	best: 	0.6923076923076923	0.5625	
epoch: 13	test: 	0.6923076923076923	0.53125	best: 	0.6923076923076923	0.5625	
epoch: 14	test: 	0.6730769230769231	0.5625	best: 	0.6923076923076923	0.5625	
epoch: 15	test: 	0.6346153846153846	0.53125	best: 	0.6923076923076923	0.5625	
epoch: 16	test: 	0.6730769230769231	0.59375	best: 	0.6923076923076923	0.59375	
epoch: 17	test: 	0.5448717948717949	0.59375	best: 	0.6923076923076923	0.59375	
epoch: 18	test: 	0.5833333333333333	0.59375	best: 	0.6923076923076923	0.59375	
epoch: 19	test: 	0.4871794871794871	0.5625	best: 	0.6923076923076923	0.59375	
epoch: 20	test: 	0.5064102564102564	0.5625	best: 	0.6923076923076923	0.59375	
epoch: 21	test: 	0.4871794871794871	0.5625	best: 	0.6923076923076923	0.59375	
epoch: 22	test: 	0.6602564102564102	0.65625	best: 	0.6923076923076923	0.65625	
epoch: 23	test: 	0.6217948717948717	0.65625	best: 	0.6923076923076923	0.65625	
epoch: 24	test: 	0.6602564102564102	0.59375	best: 	0.6923076923076923	0.65625	
epoch: 25	test: 	0.5833333333333333	0.625	best: 	0.6923076923076923	0.65625	
epoch: 26	test: 	0.5448717948717949	0.59375	best: 	0.6923076923076923	0.65625	
epoch: 27	test: 	0.5064102564102564	0.59375	best: 	0.6923076923076923	0.65625	
